p_bat,player_name
32965,Munaf Patel
32966,Piyush Chawla
32973,Pankaj Singh
33141,Ambati Rayudu
33335,Suresh Raina
34102,Rohit Sharma
34274,Sreesanth
35263,Virender Sehwag
35280,RP Singh
35281,Vikram Singh
35320,Sachin Tendulkar
35390,Saurabh Tiwary
35565,Manoj Tiwary
35582,Robin Uthappa
35731,Vinay Kumar
35805,Venugopal Rao
36054,Jai Prakash Yadav
36084,Yuvraj Singh
36185,Nathan Astle
36192,Andre Adams
36326,Shane Bond
36331,Ian Butler
36383,Geoff Barnett
36581,Neil Broom
36590,Michael Bates
36592,Peter Borren
36597,Chris Cairns
36627,Craig Cumming
36632,Tama Canning
36948,Anton Devcich
36950,Brendon Diamanti
36993,Andrew Ellis
37000,Stephen Fleming
37004,James Franklin
37091,Peter Fulton
37095,Daniel Flynn
37111,Mark Gillespie
37228,Lance Hamilton
37248,Gareth Hopkins
37263,Paul Hitchcock
37265,Jamie How
37696,Hamish Marshall
37698,James Marshall
37700,Chris Martin
37701,Michael Mason
37712,Craig McMillan
37737,Brendon McCullum
37740,Kyle Mills
37749,Nathan McCullum
37770,Peter McGlashan
38005,Andy McKay
38058,Rob Nicol
38062,Jacob Oram
38108,Iain O'Brien
38111,Michael Papps
38141,Jeetan Patel
38261,Darron Reekers
38264,Aaron Redmond
38373,Jesse Ryder
38393,Mathew Sinclair
38407,Scott Styris
38418,Shanan Stewart
38620,Daryl Tuffey
38699,Ross Taylor
38710,Daniel Vettori
38714,Lou Vincent
38751,Jeff Wilson
38759,Regan West
38920,Luke Woodcock
38924,BJ Watling
38952,Peter Ingram
39005,Arshad Khan
39024,Azhar Mahmood
39037,Azhar Ali
39038,Adnan Akmal
39091,Abdur Rehman
39121,Afzaal Haider
39745,Amjad Ali
39821,Aizaz Cheema
39836,Abdul Razzaq
39898,Asif Iqbal
39940,Ashfaq Ahmed
39950,Abid Ali
39956,Bazid Khan
40043,Danish Kaneria
40082,Ehsan Khan
40088,Faisal Iqbal
40170,Fayyaz Ahmed
40250,Fawad Alam
40563,Imran Nazir
40570,Inzamam-ul-Haq
40582,Imran Farhat
40591,Iftikhar Anjum
40618,Imran Tahir
41028,Kamran Akmal
41046,Khalid Latif
41058,Kamran Hussain
41140,Khurram Manzoor
41224,Khurram Chohan
41324,Mohammad Sami
41378,Misbah-ul-Haq
41411,Mohammad Asif
41434,Mohammad Hafeez
41440,Mohammad Iqbal
41481,Mohammad Salman
41963,Mansoor Amjad
41984,Mohammad Nadeem
42059,Naumanullah
42106,Najeeb Amar
42160,Najaf Shah
42272,Naved-ul-Hasan
42321,Nasir Jamshed
42632,Shabbir Ahmed
42639,Shahid Afridi
42655,Shoaib Akhtar
42657,Shoaib Malik
42683,Salman Butt
42699,Saeed Ajmal
42746,Saqib Ali
43121,Shaiman Anwar
43265,Sohail Tanvir
43266,Sohaib Maqsood
